City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,qeshm,IR,26.9581,56.2719,71.6,100.0,0.0,4.61,fog
302,sao felix do xingu,BR,-6.6447,-51.995,74.93,87.0,39.0,3.44,scattered clouds
303,gari,RU,59.4307,62.3497,35.92,98.0,100.0,5.06,overcast clouds
304,beringovskiy,RU,63.05,179.3167,3.72,90.0,49.0,6.8,scattered clouds
305,soderhamn,SE,61.3037,17.0592,35.01,70.0,100.0,4.0,overcast clouds
306,praia,CV,14.9215,-23.5087,71.6,68.0,0.0,20.71,clear sky
308,inhambane,MZ,-23.865,35.3833,72.1,83.0,56.0,5.61,broken clouds
309,stropkov,SK,49.2021,21.6522,32.0,85.0,10.0,3.0,clear sky
310,maputo,MZ,-25.9653,32.5892,73.4,88.0,40.0,4.61,scattered clouds
311,manyana,BW,-23.4,21.7167,65.3,51.0,0.0,6.33,clear sky
312,hovd,MN,48.0056,91.6419,37.9,37.0,4.0,3.42,clear sky
313,vila velha,BR,-20.3297,-40.2925,75.99,94.0,75.0,2.3,mist
314,puerto madryn,AR,-42.7692,-65.0385,62.87,56.0,73.0,11.52,broken clouds
315,jistebnice,CZ,49.4855,14.5276,30.0,70.0,15.0,3.0,few clouds
316,yurimaguas,PE,-5.9,-76.0833,78.69,78.0,96.0,1.79,overcast clouds
317,sunndalsora,NO,62.6754,8.5515,35.6,80.0,90.0,4.61,overcast clouds
318,alofi,NU,-19.0595,-169.9187,82.4,65.0,40.0,8.05,scattered clouds
319,iqaluit,CA,63.7506,-68.5145,23.0,86.0,75.0,17.27,light snow
320,camacha,PT,33.0833,-16.3333,64.4,82.0,40.0,14.97,scattered clouds
321,havelock,US,34.8791,-76.9013,70.0,73.0,89.0,1.01,overcast clouds
322,honiara,SB,-9.4333,159.95,75.24,96.0,100.0,2.77,heavy intensity rain
325,nome,US,64.5011,-165.4064,0.0,60.0,1.0,9.22,clear sky
327,vostok,RU,46.4856,135.8833,25.74,79.0,100.0,5.5,overcast clouds
328,san juan de la maguana,DO,18.8059,-71.2299,80.6,78.0,75.0,14.97,broken clouds
329,puerto carreno,CO,6.189,-67.4859,79.52,77.0,100.0,6.82,overcast clouds
330,bejar,ES,40.3864,-5.7634,53.01,80.0,100.0,1.99,overcast clouds
332,mastic beach,US,40.7668,-72.8521,55.4,62.0,1.0,9.22,clear sky
333,newtownards,GB,54.5924,-5.6909,41.0,81.0,100.0,8.05,overcast clouds
334,xuddur,SO,4.1213,43.8894,74.28,78.0,37.0,13.71,scattered clouds
335,bilma,NE,18.6853,12.9164,80.44,7.0,0.0,3.13,clear sky
336,umm kaddadah,SD,13.6017,26.6876,77.31,4.0,20.0,15.1,few clouds
337,jalu,LY,29.0331,21.5482,67.01,22.0,8.0,12.77,clear sky
338,pisco,PE,-13.7,-76.2167,70.0,78.0,0.0,21.85,clear sky
339,novikovo,RU,51.1537,37.8879,34.18,68.0,84.0,4.61,broken clouds
340,roura,GF,4.7263,-52.3274,79.0,94.0,75.0,4.61,light rain
341,tongliao,CN,43.6125,122.2653,46.49,20.0,14.0,10.78,few clouds
342,tommot,RU,58.9564,126.2925,34.68,79.0,100.0,5.68,overcast clouds
343,cotonou,BJ,6.3654,2.4183,84.2,84.0,40.0,11.5,scattered clouds
344,tondano,ID,1.3038,124.9112,78.8,83.0,20.0,1.14,few clouds
345,whitianga,NZ,-36.8333,175.7,72.0,75.0,100.0,8.01,light rain
346,roebourne,AU,-20.7833,117.1333,84.43,69.0,83.0,14.83,broken clouds
347,izumo,JP,35.3667,132.7667,50.0,81.0,20.0,6.91,few clouds
348,igarka,RU,67.4667,86.5833,6.6,92.0,98.0,4.05,overcast clouds
349,guiratinga,BR,-16.3494,-53.7583,70.93,92.0,46.0,6.2,scattered clouds
350,half moon bay,US,37.4636,-122.4286,64.4,71.0,1.0,16.11,clear sky
351,gaptsakh,RU,41.4517,47.9303,53.87,52.0,3.0,10.94,clear sky
352,thompson,CA,55.7435,-97.8558,53.6,30.0,20.0,8.05,few clouds
353,ahipara,NZ,-35.1667,173.1667,69.03,69.0,100.0,11.95,moderate rain
354,lengshuitan,CN,26.4111,111.5956,56.86,84.0,90.0,4.21,overcast clouds
355,nanortalik,GL,60.1432,-45.2371,35.83,78.0,98.0,11.12,overcast clouds
356,cantaura,VE,9.3057,-64.3584,83.46,57.0,99.0,7.02,overcast clouds
357,colares,PT,38.7992,-9.4469,61.0,80.0,100.0,9.28,overcast clouds
